,Pendidikan,,,,,,,,,,,,,Pendidikan Dasar dan Anak Usia Dini,,,,,,,,,,,,,Pendidikan Menengah,,,,,,,,,,,,,Pendidikan Tinggi,,,,,,,,,,,,,Pendidikan Lainnya,,,,,,,,,,,,,2024
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,2024
KOTA METRO,1.2,1.2,1.2,1.2,1.2,1.2,2.85,3.35,2.46,2.46,2.46,2.46,-,1.94,1.94,1.94,1.94,1.94,1.94,6.68,7.64,5.59,5.59,5.59,5.59,-,1.32,1.32,1.32,1.32,1.32,1.32,1.32,3.3,1.96,1.96,1.96,1.96,-,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.12,0.12,0.12,0.12,-,2.26,2.26,2.26,2.26,2.26,2.26,7.35,4.97,4.97,4.97,4.97,4.97,-,2024.0
TANJUNG PANDAN,6.88,7.03,7.03,7.03,7.03,7.03,7.03,7.9,4.34,3.5,3.39,3.39,-,7.22,7.22,7.22,7.22,7.22,7.22,7.22,8.21,4.36,1.31,0.92,0.92,-,11.56,12.11,12.11,12.11,12.11,12.11,12.11,14.37,2.37,2.37,2.37,2.37,-,8.28,8.28,8.28,8.28,8.28,8.28,8.28,8.28,11.71,11.71,11.71,11.71,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KAB BANGKA BARAT,1.57,1.57,1.57,1.57,0.2,0.2,-0.08,1.05,1.05,1.05,1.05,1.05,-,0.85,0.85,0.85,0.85,0.85,0.85,-0.92,1.77,1.77,1.77,1.77,1.77,-,0.0,0,0,0,0,0,0.5,0.24,0.24,0.24,0.24,0.24,-,0,0,0,0,0,0,0,0,0,0,0,0,-,8.4,8.4,8.4,8.4,0,0,0,3.25,3.25,3.25,3.25,3.25,-,2024.0
KAB BELITUNG TIMUR,0.0,0,0,0,0,0,0.02,0.05,15.23,15.23,15.23,15.31,-,0.0,0,0,0,0,0,0.16,0.33,0.33,0.33,0.33,0.88,-,0.0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,42.86,42.86,42.86,42.86,-,0,0,0,0,0,0,0,0,0,0,0,0,-,2024.0
KOTA PANGKAL PINANG,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.82,0.92,0.92,0.92,0.92,-,0.55,0.55,0.55,0.55,0.55,0.55,0.55,1.11,1.79,1.79,1.79,1.79,-,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.65,1.58,1.58,1.58,1.58,-,0,0,0,0,0,0,0,0.09,0.09,0.09,0.09,0.09,-,1.21,1.21,1.21,1.21,1.21,1.21,1.21,1.01,0,0,0,0,-,2024.0
KAB KARIMUN,0.0,0,0,0,0,0,-8.16,-7.1,-7.1,-7.1,-7.1,-7.1,-,0.0,0,0,0,0,0,0.64,5.03,5.03,5.03,5.03,5.03,-,0.0,0,0,0,0,0,-26.81,-26.81,-26.81,-26.81,-26.81,-26.81,-,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,1.66,1.66,1.66,1.66,1.66,-,2024.0
KOTA BATAM,2.59,2.59,2.59,2.59,2.59,2.59,0.2,-0.64,-1.45,-1.45,-1.45,-1.45,-,1.95,1.95,1.95,1.95,1.95,1.95,2.67,0.71,0.71,0.71,0.71,0.71,-,1.08,1.08,1.08,1.08,1.08,1.08,-8.86,-9.84,-9.84,-9.84,-9.84,-9.84,-,5.36,5.36,5.36,5.36,5.36,5.36,5.36,5.36,2.64,2.64,2.64,2.64,-,0.55,0.55,0.55,0.55,0.55,0.55,1.44,0.89,0.89,0.89,0.89,0.89,-,2024.0
KOTA TANJUNG PINANG,4.51,3.28,3.28,3.28,3.28,3.28,-1.29,-1.89,-3.04,-2.1,-2.1,-2.1,-,3.53,3.53,3.53,3.53,3.53,3.53,7.41,5.98,5.98,5.98,5.98,5.98,-,1.53,1.53,1.53,1.53,1.53,1.53,-20.61,-21.8,-21.8,-21.8,-21.8,-21.8,-,6.34,6.34,6.34,6.34,6.34,6.34,6.34,6.34,2.51,2.51,2.51,2.51,-,5.7,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,4.65,4.65,4.65,-,2024.0
KOTA JAKARTA,1.61,1.61,2.12,2.19,2.18,2.18,2.93,2.44,2.35,2.2,2.2,2.39,-,1.42,1.42,1.42,1.42,1.36,1.36,1.82,3.56,3.56,3.56,3.56,3.56,-,3.0,3,3,3,3,3,4.62,2.11,2.11,2.11,2.11,2.82,-,0.44,0.44,0.44,0.44,0.44,0.44,0.87,0.43,0.43,0.43,0.43,0.43,-,2.85,2.85,8.87,9.77,9.77,9.77,9.77,9.77,8.73,6.82,6.82,6.82,-,2024.0
KAB BANDUNG,0.4,0.4,0.4,0.4,0.4,0.03,2.04,2.11,2.85,2.85,2.85,2.85,-,2.31,2.31,2.31,2.31,2.31,0.17,1.98,1.98,1.98,1.98,1.98,1.98,-,0.0,0,0,0,0,0,3.57,3.57,3.57,3.57,3.57,3.57,-,0,0,0,0,0,0,0,0,1.99,1.99,1.99,1.99,-,0,0,0,0,0,0,4.36,5.14,5.14,5.14,5.14,5.14,-,2024.0
